Tres	VER:cond	Tres
déçu	VER:pper	décevoir
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
envie	NOM	envie
de	PRP	de
me	PRO:PER	me
réveiller	VER:infi	réveiller
de	PRP	de
ce	PRO:DEM	ce
mauvais	ADJ	mauvais
rêve	NOM	rêve
j'	PRO:PER	je
espere	NOM	espere
et	KON	et
de	PRP	de
voir	VER:infi	voir
le	DET:ART	le
film	NOM	film
que	PRO:REL	que
j'	PRO:PER	je
attend	VER:pres	attendre
deûis	NOM	deûis
des	PRP:det	du
mois	NOM	moi|mois
.	SENT	.
Mais	KON	mais
non	ADV	non
tout	PRO:IND	tout
cela	PRO:DEM	cela
est	VER:pres	être
bien	ADV	bien
réel	ADJ	réel
,	PUN	,
je	PRO:PER	je
me	PRO:PER	me
suis	VER:pres	suivre|être
ennuyé	VER:pper	ennuyer
pendant	PRP	pendant
2h40	NOM	2h40
,	PUN	,
les	DET:ART	le
lunettes	NOM	lunette|lunettes
3D	ADJ	3D
sont	VER:pres	être
un	DET:ART	un
pompage	NOM	pompage
de	PRP	de
fric	NOM	fric
pour	PRP	pour
les	DET:ART	le
cinoches	NOM	cinoche
,	PUN	,
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
pas	ADV	pas
de	PRP	de
scenario	NOM	scenario
,	PUN	,
il	PRO:PER	il
ya	NOM	ya
plein	ADJ	plein
d'	PRP	de
elipses	NOM	elipses
,	PUN	,
pas	ADV	pas
d'	PRP	de
emotion	NOM	emotion
,	PUN	,
des	PRP:det	du
clichés	NOM	cliché
,	PUN	,
des	PRP:det	du
facilité	NOM	facilité
dramaturgiques	ADJ	dramaturgique
;	PUN	;
pas	ADV	pas
de	PRP	de
surprise	NOM	surprise
,	PUN	,
le	DET:ART	le
perso	NOM	perso
de	PRP	de
Jake	NAM	Jake
Sully	NAM	Sully
est	VER:pres	être
pas	ADV	pas
assez	ADV	assez
charismatique	ADJ	charismatique
.	SENT	.
La	DET:ART	le
3D	NOM	3D
est	VER:pres	être
tres	VER:pper	tres
peu	ADV	peu
exploitée	VER:pper	exploiter
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
Pas	ADV	pas
de	PRP	de
sensation	NOM	sensation
de	PRP	de
vertige	NOM	vertige
et	KON	et
d'	PRP	de
immersion	NOM	immersion
!	SENT	!
Points	NOM	point
positif	ADJ	positif
:	PUN	:
Neytiri	NAM	Neytiri
est	VER:pres	être
superbe	ADJ	superbe
,	PUN	,
attachante	ADJ	attachant
,	PUN	,
guerriere	NOM	guerriere
,	PUN	,
aimante	ADJ	aimant
,	PUN	,
sigourney	NOM	sigourney
Weaver	NAM	Weaver
et	KON	et
mon	DET:POS	mon
person	NOM	person
préféré	VER:pper	préférer
avec	PRP	avec
Neytiri	NAM	Neytiri
.	SENT	.
,	PUN	,
La	DET:ART	le
Motion	NOM	motion
Capture	NAM	Capture
est	VER:pres	être
Top	NAM	Top
,	PUN	,
les	DET:ART	le
Na'vi	NAM	Na'vi
sont	VER:pres	être
trop	ADV	trop
bien	ADV	bien
faits	VER:pper	faire
plus	ADV	plus
vrai	ADJ	vrai
que	KON	que
nature	NOM	nature
et	KON	et
super	ADJ	super
attachant	VER:ppre	attacher
,	PUN	,
le	DET:ART	le
message	NOM	message
écolo	NOM	écolo
est	VER:pres	être
touchant	ADJ	touchant
et	KON	et
sincere	NOM	sincere
.	SENT	.
Conclusion	NOM	conclusion
:	PUN	:
Je	PRO:PER	je
suis	VER:pres	suivre|être
dégoutéééééééééééééééééééééééééé	VER:pper	dégoutéééééééééééééééééééééééééé
!	SENT	!
!	SENT	!
!	SENT	!
et	KON	et
pourant	VER:subi	pourant
j'	PRO:PER	je
avais	VER:impf	avoir
envie	NOM	envie
d'	PRP	de
aimer	VER:infi	aimer
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
Et	KON	et
j'	PRO:PER	je
en	PRO:PER	en
suis	VER:pres	suivre|être
encore	ADV	encore
plus	ADV	plus
triste	ADJ	triste
.	SENT	.
