1	NUM	@card@
étoile	NOM	étoile
pour	PRP	pour
la	DET:ART	le
qualité	NOM	qualité
des	PRP:det	du
effets	NOM	effet
spéciaux	ADJ	spécial
et	KON	et
l'	DET:ART	le
aspect	NOM	aspect
humoristique	ADJ	humoristique
du	PRP:det	du
film..3	ADJ	film..3
étoiles	NOM	étoile
en	PRP	en
moins	ADV	moins
pour	PRP	pour
les	DET:ART	le
cascades	NOM	cascade
TROP	NAM	TROP
(	PUN	(
mais	KON	mais
vraiment	ADV	vraiment
TROP	NAM	TROP
)	PUN	)
exagérées.	ABR	exagérées.
.	SENT	.
on	PRO:PER	on
notera	VER:futu	noter
la	DET:ART	le
voiture	NOM	voiture
qui	PRO:REL	qui
heurtera	VER:futu	heurter
un	DET:ART	un
hélicoptère	NOM	hélicoptère
à	PRP	à
30m	NOM	30m
de	PRP	de
hauteur	NOM	hauteur
,	PUN	,
un	DET:ART	un
combat	NOM	combat
entre	PRP	entre
un	DET:ART	un
avion	NOM	avion
F-35	ABR	F-35
(	PUN	(
c'est-à-dire	ADV	c'est-à-dire
supersonique	ADJ	supersonique
)	PUN	)
et	KON	et
un	DET:ART	un
poids	NOM	poids
lourd	ADJ	lourd
,	PUN	,
Bruce	NAM	Bruce
Willis	NAM	Willis
qui	PRO:REL	qui
surfera	VER:futu	surfaire|surfer
sur	PRP	sur
ce	PRO:DEM	ce
meme	NOM	meme
F-35	ABR	F-35
en	PRP	en
plein	ADJ	plein
vol	NOM	vol
et	KON	et
sautant	VER:ppre	sauter
sur	PRP	sur
un	DET:ART	un
pont	NOM	pont
s'	PRO:PER	se
écroulant	VER:ppre	écrouler
et	KON	et
la	DET:ART	le
liste	NOM	liste
est	VER:pres	être
encore	ADV	encore
longue.	ADJ	longue.
.	SENT	.
mais	KON	mais
attendez	VER:pres	attendre
le	DET:ART	le
pire	ADJ	pire
dans	PRP	dans
tout	ADV	tout
ça	PRO:DEM	cela
c'	PRO:DEM	ce
est	VER:pres	être
que	KON	que
l'	DET:ART	le
héros	NOM	héro|héros
s'	PRO:PER	se
en	PRO:PER	en
sort	VER:pres	sortir
toujours	ADV	toujours
sans	PRP	sans
aucune	PRO:IND	aucun
blessure	NOM	blessure
(	PUN	(
sauf	PRP	sauf
quelque	PRO:IND	quelque
saignements	NOM	saignement
fictifs	ADJ	fictif
sur	PRP	sur
el	ADJ	el
visage	NOM	visage
histoire	NOM	histoire
de	PRP	de
ne	ADV	ne
pas	ADV	pas
nous	PRO:PER	nous
prendre	VER:infi	prendre
totalment	NOM	totalment
pour	KON	pour
des	PRP:det	du
abrutis	NOM	abruti
)	PUN	)
meme	VER:pres	meme
pas	ADV	pas
une	DET:ART	un
toute	PRO:IND	tout
petite	ADJ	petit
entorse	NOM	entorse
à	PRP	à
la	DET:ART	le
cheville	NOM	cheville
!	SENT	!
