Oulà	ABR	Oulà
ça	PRO:DEM	cela
fait	VER:pres	faire
vraiment	ADV	vraiment
mal	ADV	mal
...	PUN	...
Pas	VER:ppre	Pas
un	DET:ART	un
rire	NOM	rire
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
,	PUN	,
et	KON	et
des	PRP:det	du
blagues	NOM	blague
vraiment	ADV	vraiment
pas	ADV	pas
très	ADV	très
élaborées	VER:pper	élaborer
.	SENT	.
J'	PRO:PER	je
ai	VER:pres	avoir
failli	VER:pper	faillir
m'	PRO:PER	me
endormir	VER:infi	endormir
,	PUN	,
à	PRP	à
part	NOM	part
le	DET:ART	le
début	NOM	début
et	KON	et
la	DET:ART	le
fin	NOM	fin
(	PUN	(
soit	KON	soit
à	PRP	à
peu	ADV	peu
près	ADV	près
5	NUM	@card@
%	SYM	%
du	PRP:det	du
film	NOM	film
)	PUN	)
où	PRO:REL	où
les	DET:ART	le
acteurs	NOM	acteur
font	VER:pres	faire
des	PRP:det	du
"	PUN:cit	"
tentatives	NOM	tentative
"	PUN:cit	"
de	PRP	de
jeu	NOM	jeu
,	PUN	,
le	DET:ART	le
film	NOM	film
est	VER:pres	être
d'	PRP	de
une	DET:ART	un
monotonie	NOM	monotonie
et	KON	et
d'	PRP	de
une	DET:ART	un
lourdeur	NOM	lourdeur
phénoménales	ADJ	phénoménal
.	SENT	.
Ceci	PRO:DEM	ceci
est	VER:pres	être
un	DET:ART	un
0	NUM	@card@
pointé	NOM	pointé
pour	PRP	pour
cet	PRO:DEM	ce
opus	NOM	opus
d'	PRP	de
Astérix	NAM	Astérix
qui	PRO:REL	qui
est	VER:pres	être
à	PRP	à
mon	DET:POS	mon
avis	NOM	avis
le	DET:ART	le
navet	NOM	navet
de	PRP	de
l'	DET:ART	le
année	NOM	année
.	SENT	.
Enfin	ADV	enfin
bref	ADV	bref
si	KON	si
j'	PRO:PER	je
ai	VER:pres	avoir
un	DET:ART	un
conseil	NOM	conseil
à	PRP	à
donner	VER:infi	donner
à	PRP	à
quelqu'un	PRO:IND	quelqu'un
qui	PRO:REL	qui
veut	VER:pres	vouloir
voir	VER:infi	voir
ce	PRO:DEM	ce
film	NOM	film
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
de	PRP	de
regarder	VER:infi	regarder
la	DET:ART	le
bande-annonce	NOM	bande-annonce
,	PUN	,
car	KON	car
tout	ADV	tout
y	PRO:PER	y
est	VER:pres	être
,	PUN	,
l'	DET:ART	le
arnaque	NOM	arnaque
en	PRP	en
moins	ADV	moins
,	PUN	,
car	KON	car
oser	VER:infi	oser
servir	VER:infi	servir
un	DET:ART	un
film	NOM	film
pareil	ADJ	pareil
c'	PRO:DEM	ce
est	VER:pres	être
vraiment	ADV	vraiment
du	PRP:det	du
foutage	NOM	foutage
de	PRP	de
gueule	NOM	gueule
...	PUN	...
