Tous	PRO:IND	tout
simplement	ADV	simplement
splendide	ADJ	splendide
!	SENT	!
Certes	ADV	certes
je	PRO:PER	je
l'	PRO:PER	la|le
admet	VER:pres	admettre
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
une	DET:ART	un
petite	ADJ	petit
faille	NOM	faille
dans	PRP	dans
le	DET:ART	le
scenario	NOM	scenario
:	PUN	:
classique	ADJ	classique
.	SENT	.
Mais	KON	mais
grâce	NOM	grâce
a	VER:pres	avoir
la	DET:ART	le
beauté	NOM	beauté
de	PRP	de
l'	DET:ART	le
image	NOM	image
et	KON	et
le	DET:ART	le
travail	NOM	travail
soigné	VER:pper	soigner
en	PRP	en
3d	NOM	3d
,	PUN	,
on	PRO:PER	on
oublie	VER:pres	oublier
vite	ADV	vite
,	PUN	,
et	KON	et
puis	ADV	puis
c'	PRO:DEM	ce
est	VER:pres	être
plutôt	ADV	plutôt
drôle	ADJ	drôle
de	PRP	de
voir	VER:infi	voir
le	DET:ART	le
"	PUN:cit	"
gros	ADJ	gros
méchant	NOM	méchant
"	PUN:cit	"
ne	ADV	ne
jamais	ADV	jamais
mourir	VER:infi	mourir
.	SENT	.
Il	PRO:PER	il
faux	NOM	fau|faux
prendre	VER:infi	prendre
ça	PRO:DEM	cela
avec	PRP	avec
humour	NOM	humour
c'	PRO:DEM	ce
est	VER:pres	être
beaucoup	ADV	beaucoup
plus	ADV	plus
agreable	ADJ	agreable
que	KON	que
de	PRP	de
s'	PRO:PER	se
enervé	VER:pper	enervé
sur	PRP	sur
son	DET:POS	son
clavier	NOM	clavier
a	VER:pres	avoir
dire	VER:infi	dire
des	PRP:det	du
betise	NOM	betise
comme	KON	comme
le	PRO:PER	le
font	VER:pres	faire
certain	ADJ	certain
.	SENT	.
Je	PRO:PER	je
pense	VER:pres	penser
que	KON	que
ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
au-dela	VER:simp	au-dela
du	PRP:det	du
cinema	VER:simp	cinema
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
spectacle	NOM	spectacle
qui	PRO:REL	qui
nous	PRO:PER	nous
emmene	VER:pres	emmene
dans	PRP	dans
un	DET:ART	un
monde	NOM	monde
rempli	VER:pper	remplir
de	PRP	de
couleur	NOM	couleur
jamais	ADV	jamais
vu	VER:pper	voir
et	KON	et
d'	PRP	de
amour	NOM	amour
de	PRP	de
la	DET:ART	le
nature	NOM	nature
.	SENT	.
Trés	ADJ	Trés
delicat	NOM	delicat
et	KON	et
soigné	VER:pper	soigner
ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
a	VER:pres	avoir
voir	VER:infi	voir
le	DET:ART	le
plus	ADV	plus
vite	ADJ	vite
!	SENT	!
