Au	PRP:det	au
début	NOM	début
devant	PRP	devant
l'	DET:ART	le
affiche	NOM	affiche
et	KON	et
le	DET:ART	le
sinopsis	NOM	sinopsis
on	PRO:PER	on
pourrait	VER:cond	pouvoir
se	PRO:PER	se
dire	VER:infi	dire
a	VER:pres	avoir
soi-même	ADJ	soi-même
,	PUN	,
ah	INT	ah
,	PUN	,
un	DET:ART	un
remake	NOM	remake
de	PRP	de
Pocaontas	NAM	Pocaontas
,	PUN	,
version	NOM	version
SF.	NAM	SF.
.	SENT	.
bof	INT	bof
.	SENT	.
Oui	INT	oui
mais	KON	mais
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
quand	ADV	quand
même	ADV	même
le	DET:ART	le
nom	NOM	nom
de	PRP	de
James	NAM	James
Cameron	NAM	Cameron
.	SENT	.
Là	ADV	là
,	PUN	,
viennent	VER:pres	venir
les	DET:ART	le
souvenirs	NOM	souvenir
jouissifs	ADJ	jouissif
de	PRP	de
Terminator	NAM	Terminator
2.	KON	@ord@
Bon	NAM	Bon
.	SENT	.
On	PRO:PER	on
se	PRO:PER	se
laisse	VER:pres	laisser
tenter	VER:infi	tenter
?	SENT	?
Et	KON	et
on	PRO:PER	on
a	VER:pres	avoir
bien	ADV	bien
fait	VER:pper	faire
!	SENT	!
!	SENT	!
!	SENT	!
Evidement	NOM	Evidement
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
peu	ADV	peu
paraitre	VER:infi	paraître
un	DET:ART	un
poil	NOM	poil
simpliste	ADJ	simpliste
,	PUN	,
mais	KON	mais
on	PRO:PER	on
ne	ADV	ne
boude	VER:pres	bouder
pas	ADV	pas
son	DET:POS	son
plaisir	NOM	plaisir
et	KON	et
on	PRO:PER	on
est	VER:pres	être
totalement	ADV	totalement
hapé	VER:pper	hapé
par	PRP	par
cette	PRO:DEM	ce
explosion	NOM	explosion
de	PRP	de
couleurs	NOM	couleur
,	PUN	,
de	PRP	de
lumière	NOM	lumière
,	PUN	,
d'	PRP	de
émotions	NOM	émotion
.	SENT	.
On	PRO:PER	on
est	VER:pres	être
dans	PRP	dans
la	DET:ART	le
peau	NOM	peau
de	PRP	de
Jake	NAM	Jake
,	PUN	,
on	PRO:PER	on
explore	VER:pres	explorer
avec	PRP	avec
lui	PRO:PER	lui
ce	PRO:DEM	ce
monde	NOM	monde
nouveau	ADJ	nouveau
.	SENT	.
Je	PRO:PER	je
dois	VER:pres	devoir
dire	VER:infi	dire
que	KON	que
j'	PRO:PER	je
ai	VER:pres	avoir
rarement	ADV	rarement
été	VER:pper	être
aussi	ADV	aussi
émerveillé	VER:pper	émerveiller
par	PRP	par
un	DET:ART	un
film	NOM	film
,	PUN	,
on	PRO:PER	on
en	PRO:PER	en
a	VER:pres	avoir
plein	ADJ	plein
les	DET:ART	le
yeux	NOM	œil
,	PUN	,
et	KON	et
en	PRO:PER	en
plus	ADV	plus
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
une	DET:ART	un
pointe	NOM	pointe
de	PRP	de
reflexion	NOM	reflexion
et	KON	et
d'	PRP	de
intelligence	NOM	intelligence
,	PUN	,
tellement	ADV	tellement
rare	ADJ	rare
en	PRP	en
ce	PRO:DEM	ce
moment	NOM	moment
!	SENT	!
Moment	NOM	moment
extraordinaire	ADJ	extraordinaire
qui	PRO:REL	qui
passe	VER:pres	passer
bien	ADV	bien
vite	ADV	vite
,	PUN	,
les	DET:ART	le
2h40	NOM	2h40
défilent	VER:pres	défiler
sans	PRP	sans
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
ne	ADV	ne
s'	PRO:PER	se
en	PRO:PER	en
rende	VER:subp	rendre
compte	NOM	compte
,	PUN	,
et	KON	et
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
,	PUN	,
on	PRO:PER	on
a	VER:pres	avoir
l'	DET:ART	le
impression	NOM	impression
d'	PRP	de
être	VER:infi	être
comme	ADV	comme
Jake	NOM	Jake
quittant	VER:ppre	quitter
son	DET:POS	son
avatar	NOM	avatar
:	PUN	:
un	DET:ART	un
peu	ADV	peu
sonné	VER:pper	sonner
,	PUN	,
mais	KON	mais
avec	PRP	avec
plein	ADJ	plein
d'	PRP	de
images	NOM	image
dans	PRP	dans
la	DET:ART	le
tête	NOM	tête
.	SENT	.
Merci	NOM	merci
m'	PRO:PER	me
sieur	NOM	sieur
James	NAM	James
!	SENT	!
