Eh	INT	eh
bien	ADV	bien
,	PUN	,
comme	KON	comme
tous	PRO:IND	tout
les	DET:ART	le
autres	ADJ	autre
je	PRO:PER	je
dirais	VER:cond	dire
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
introduction	NOM	introduction
au	PRP:det	au
troisième	NUM	troisième
épisode	NOM	épisode
.	SENT	.
Il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
passe	VER:pres	passer
pas	ADV	pas
grand	ADJ	grand
chose	NOM	chose
,	PUN	,
on	PRO:PER	on
est	VER:pres	être
dans	PRP	dans
l'	DET:ART	le
attente	NOM	attente
de	PRP	de
l'	DET:ART	le
action	NOM	action
tout	ADV	tout
au	PRP:det	au
long	NOM	long
du	PRP:det	du
film	NOM	film
,	PUN	,
et	KON	et
lorsqu'	KON	lorsque
elle	PRO:PER	elle
débute	VER:pres	débuter
,	PUN	,
un	DET:ART	un
gros	ADJ	gros
"	PUN:cit	"
a	VER:pres	avoir
suivre	VER:infi	suivre
"	PUN:cit	"
apparait	VER:pres	apparaître
.	SENT	.
Ce	PRO:DEM	ce
film	NOM	film
aurait	VER:cond	avoir
pu	VER:pper	pouvoir
être	VER:infi	être
rattaché	VER:pper	rattacher
au	PRP:det	au
suivant	NOM	suivant
et	KON	et
raccourci	VER:pper	raccourcir
à	PRP	à
une	DET:ART	un
quinzaine	NOM	quinzaine
de	PRP	de
minutes	NOM	minute
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
aurait	VER:cond	avoir
été	VER:pper	être
largement	ADV	largement
suffisant	ADJ	suffisant
au	PRP:det	au
vu	VER:pper	voir
de	PRP	de
la	DET:ART	le
pauvreté	NOM	pauvreté
du	PRP:det	du
scénario	NOM	scénario
.	SENT	.
Je	PRO:PER	je
n'	ADV	ne
irai	VER:futu	aller
pas	ADV	pas
jusqu'	PRP	jusque
à	PRP	à
dire	VER:infi	dire
qu'	KON	que
il	PRO:PER	il
ne	ADV	ne
faut	VER:pres	falloir
pas	ADV	pas
aller	VER:infi	aller
voir	VER:infi	voir
le	DET:ART	le
troisième	NUM	troisième
parce	KON	parce
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
nul	ADJ	nul
de	PRP	de
faire	VER:infi	faire
un	DET:ART	un
épisode	NOM	épisode
commercial	ADJ	commercial
,	PUN	,
je	PRO:PER	je
conseille	VER:pres	conseiller
simplement	ADV	simplement
de	PRP	de
ne	ADV	ne
pas	ADV	pas
voir	VER:infi	voir
celui	PRO:DEM	celui
-ci	ADV	-ci
,	PUN	,
mais	KON	mais
d'	PRP	de
aller	VER:infi	aller
voir	VER:infi	voir
uniquement	ADV	uniquement
le	DET:ART	le
suivant	NOM	suivant
,	PUN	,
qui	PRO:REL	qui
,	PUN	,
je	PRO:PER	je
pense	VER:pres	penser
,	PUN	,
sera	VER:futu	être
riche	ADJ	riche
en	PRP	en
rebondissementrs	NOM	rebondissementrs
.	SENT	.
